"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C9","1uF","~","Capacitor_SMD:C_1206_3216Metric","2",""
"C2,C4,C15","0.1uF","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C3","2.2uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C5","0.01uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C8","100uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C10,C12","22uF","~","Capacitor_SMD:C_1206_3216Metric","2",""
"C11,C14","4.7uF","~","Capacitor_SMD:C_1206_3216Metric","2",""
"C13",".01uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"D3","LED_G","~","Diode_SMD:D_1206_3216Metric","1",""
"D4","LED_R","~","Diode_SMD:D_1206_3216Metric","1",""
"D5,D7","D_Schottky","~","Diode_SMD:D_SOD-123","2",""
"J1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4110","1",""
"J2","JST_BATT","~","JST2:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal_2","1",""
"J4","JST_SOL","~","JST2:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal_2","1",""
"L2","22uH","~","Inductor_SMD:L_1206_3216Metric","1",""
"L3","4.7uH","~","Inductor_SMD:L_1206_3216Metric","1",""
"MT1","ICM-42670-P","","ICM_42670_P:XDCR_ICM-42670-P","1",""
"R4,R9","5K1","~","Resistor_SMD:R_1206_3216Metric","2",""
"R5","15R","~","Resistor_SMD:R_1206_3216Metric","1",""
"R6","10K","~","Resistor_SMD:R_1206_3216Metric","1",""
"R7","68R","~","Resistor_SMD:R_1206_3216Metric","1",""
"R8","1K","~","Resistor_SMD:R_1206_3216Metric","1",""
"ROUT1","4M7","~","Resistor_SMD:R_1206_3216Metric","1",""
"ROUT2,ROV2","8M2","~","Resistor_SMD:R_1206_3216Metric","2",""
"ROV1","5M1","~","Resistor_SMD:R_1206_3216Metric","1",""
"SC1","SM141K05TF (Solar Cell)","~","","1","DNP"
"SW1","SW_Push","~","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"SW2","SW_PWR","~","switch:switch-MSK-12C02-smd","1",""
"TP1","3V3","~","TestPoint:TestPoint_Pad_D2.0mm","1",""
"TP2","GND","~","TestPoint:TestPoint_Pad_D2.0mm","1",""
"U1","ESP32-S3-WROOM-1-N4","","ESP32_S3_WROOM_1_N4:XCVR_ESP32-S3-WROOM-1-N4","1",""
"U2","TPD4E05U06DQA","https://www.ti.com/lit/ds/symlink/tpd4e05u06.pdf","Package_SON:USON-10_2.5x1.0mm_P0.5mm","1",""
"U7","BQ25570","http://www.ti.com/lit/ds/symlink/bq25570.pdf","Package_DFN_QFN:QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm","1",""
